id;region;sex;age;income;isMarried;nchildren;religious;education;occupation;rate_marriage;naffairs
1;3;1;37;563680,0625;1;0;3;18;5;4;0 
2;1;0;27;270797,5938;0;0;4;14;1;1;0 
3;3;0;32;365333,3438;0;1;1;12;1;1;0 
4;1;1;57;563680,0625;1;1;5;18;1;5;0 
5;2;1;22;253485,5938;0;0;2;17;3;1;0 
6;3;0;32;175424,4063;0;0;2;17;1;1;0 
7;2;0;22;184492,9844;1;0;2;12;1;3;0 
8;3;1;57;180828,6094;0;1;2;14;2;1;0 
9;2;0;32;1437600;0;1;4;16;2;1;0 
10;3;1;22;309641,8438;1;0;4;14;1;5;0 
11;2;1;37;253285,7188;1;1;2;20;5;2;0 
12;2;1;27;209337,5313;0;1;4;18;4;1;0 
13;3;1;47;169493,0938;0;1;5;17;5;1;0 
14;1;0;22;271431,1875;0;0;2;17;3;1;0 
15;1;0;27;311826,7188;1;0;4;14;4;4;0 
16;2;0;37;279110,4375;1;1;1;17;1;5;0 
17;3;0;37;171200;0;1;2;18;5;1;0 
18;3;0;22;556905,3125;0;0;3;16;5;1;0 
19;1;0;22;224176,0625;1;0;2;16;1;5;0 
20;3;0;27;107740;1;1;2;14;2;5;0 
21;1;0;22;271500;0;0;2;16;3;1;0 
22;2;0;22;786578,8125;0;0;2;16;4;1;0 
23;3;0;27;715870;0;1;4;16;4;1;0 
24;1;0;32;569925;0;1;3;14;2;1;0 
25;2;1;37;400640;1;1;2;20;2;4;0 
26;2;0;22;191600;1;0;2;18;1;5;0 
27;3;0;27;367868,7813;1;0;4;16;3;5;0 
28;1;1;42;681200;0;1;5;20;1;1;0 
29;3;1;27;254700,625;1;1;3;16;4;5;0 
30;2;0;27;115081,2891;1;1;3;17;3;4;0 
31;2;1;42;115200;0;1;4;20;1;1;0 
32;3;0;22;176000;0;0;3;16;2;1;0 
33;1;1;27;364265,3438;0;0;4;17;1;1;0 
34;2;0;42;888066,6875;0;1;5;14;2;1;0 
35;1;1;32;394579,4063;1;1;1;18;2;4;0 
36;3;0;22;446086,9688;0;0;4;16;5;1;0 
37;1;0;42;69666,66406;0;1;3;12;1;1;0 
38;3;0;22;189366,4063;1;0;4;17;1;5;0 
39;1;1;22;530466,6875;1;1;1;14;5;5;0 
40;1;0;22;742900;0;0;3;16;3;1;0 
41;3;1;32;202214,2813;0;1;5;20;1;1;0 
42;2;1;52;164693,7344;0;1;5;18;4;1;0 
43;2;0;22;355150,9063;1;0;5;14;2;4;0 
44;3;0;27;200011,2031;0;1;2;18;1;1;0 
45;2;0;32;102000;0;1;5;17;3;1;0 
46;3;1;22;738936;1;0;3;16;3;5;0 
47;3;0;27;157680,875;0;1;4;18;2;1;0 
48;3;0;42;789120;0;1;2;18;5;1;0 
49;1;1;27;237293,4844;0;1;4;16;3;1;0 
50;2;1;42;479059,5313;0;1;2;20;5;1;0 
51;3;0;22;342000;0;0;5;14;5;1;0 
52;1;1;32;567898,875;0;1;2;20;3;1;0 
53;3;1;27;200444,9063;1;1;5;20;4;5;0 
54;1;1;27;162193,4531;0;1;4;20;5;1;0 
55;3;1;22;147169,375;1;0;1;18;5;5;0 
56;1;0;37;231909,625;0;1;4;14;3;1;0 
57;1;1;22;260022;0;1;5;16;4;1;0 
58;3;0;37;681427,125;1;1;4;17;3;5;0 
59;3;0;27;371286,4063;0;0;4;17;5;1;0 
60;1;1;32;164192,4375;0;1;4;20;2;1;0 
61;3;0;47;259460;0;1;5;14;2;1;0 
62;3;1;37;576476,9375;1;1;3;20;1;4;0 
63;1;0;22;624533,3125;1;0;2;16;5;5;0 
64;2;1;27;603880;0;0;2;18;4;1;0 
65;2;1;32;611520;0;0;4;20;5;1;0 
66;1;1;42;406800;0;1;2;17;1;1;0 
67;2;1;37;346493,3438;1;1;4;20;4;4;0 
68;3;0;47;219733,3281;1;1;3;17;3;5;0 
69;1;0;22;492283,1875;0;0;5;16;1;1;0 
70;3;0;27;199773,7188;1;0;2;16;3;4;0 
71;1;0;27;276874,625;1;0;3;17;1;5;0 
72;2;0;32;278520;0;1;5;14;4;1;0 
73;1;0;22;180292,5;1;0;2;12;1;5;0 
74;3;1;47;87550;1;1;4;14;1;3;0 
75;3;1;32;367197,5938;1;1;1;14;4;5;0 
76;3;1;27;676606,4375;0;1;4;16;1;1;0 
77;1;0;22;522000;1;1;3;16;3;5;0 
78;2;1;27;439680,2813;1;1;3;17;1;5;0 
79;1;0;22;105169,8984;1;0;3;16;4;5;0 
80;2;1;57;563688;0;1;2;14;2;1;0 
81;3;1;27;137869,5625;0;1;3;18;4;1;0 
82;1;1;57;141615,8125;0;1;4;20;3;1;0 
83;1;0;22;257911,0313;0;0;2;16;5;1;0 
84;1;1;42;816749,3125;1;0;4;17;4;3;0 
85;2;0;22;198666,6719;1;1;4;12;3;5;0 
86;3;0;22;317608,25;0;0;1;17;5;1;0 
87;2;0;32;795786,6875;1;1;4;17;5;5;0 
88;2;0;27;588081,6875;1;0;3;18;5;2;0 
89;2;0;22;537800;1;1;3;14;3;5;0 
90;3;0;37;478257,5625;1;1;3;14;5;4;0 
91;2;0;32;659185,875;0;1;4;14;4;1;0 
92;2;1;37;440000;0;1;2;14;2;1;0 
93;2;1;37;74277,78125;1;1;4;16;3;4;0 
94;2;1;57;540712,375;0;1;5;20;1;1;0 
95;3;1;27;201533,3281;1;0;1;16;5;4;0 
96;2;0;42;324408,0625;1;1;5;14;4;5;0 
97;3;1;57;240983,7656;1;1;3;16;5;1;0 
98;3;1;37;108000;0;1;1;16;4;1;0 
99;2;1;37;168752,2188;1;1;3;17;4;5;0 
100;1;1;37;231100;0;1;4;20;2;1;0 
101;3;0;27;144513;1;1;5;14;1;5;0 
102;2;1;37;180858,4844;1;1;2;18;1;4;0 
103;2;0;22;273557,9688;1;0;4;12;1;5;0 
104;3;1;57;445200;1;1;5;20;3;5;0 
105;3;0;37;404200,5938;0;1;4;18;5;1;0 
106;1;1;22;654894,25;1;1;4;14;5;4;0 
107;3;1;27;91779,03906;0;1;4;18;1;1;0 
108;2;1;57;412554,8438;1;1;4;20;2;4;0 
109;2;1;32;233100;1;1;3;14;2;3;0 
110;2;0;22;356500;0;0;2;14;5;1;0 
111;3;0;32;395266,6563;0;1;4;17;1;1;0 
112;2;0;37;507606,4063;0;1;4;17;1;1;0 
113;2;0;32;304746,3438;1;0;5;18;3;5;0 
114;2;1;42;171600;1;1;5;20;3;4;0 
115;2;0;27;64925,78516;0;0;3;16;4;1;0 
116;1;1;37;202300;1;0;4;20;5;5;0 
117;2;1;37;328296;0;1;4;14;2;1;0 
118;2;1;32;147792;1;0;5;18;1;4;0 
119;1;0;22;1235797,375;1;0;4;16;4;5;0 
120;1;0;27;363939,125;0;1;4;12;5;1;0 
121;2;0;27;309200;1;1;2;16;4;5;0 
122;1;0;42;171600;0;1;5;18;4;1;0 
123;1;1;42;590991,3125;0;1;4;17;3;1;0 
124;2;0;27;206924,3438;0;1;2;16;5;1;0 
125;1;0;22;405176,3125;0;0;3;16;3;1;0 
126;1;1;37;257482,0781;1;1;5;20;1;5;0 
127;2;0;22;156688,8906;1;0;2;14;2;5;0 
128;3;1;27;425520;1;0;4;16;5;5;0 
129;1;1;32;159100;1;0;2;18;3;5;0 
130;2;1;27;210518,4063;1;0;2;17;1;5;0 
131;2;0;27;343347,375;0;1;4;16;5;1;0 
132;3;1;42;468021,25;0;1;4;18;1;1;0 
133;3;0;27;357105,4063;0;0;2;16;5;1;0 
134;3;1;27;534195,625;0;0;2;18;2;1;0 
135;1;0;32;390824,5313;0;1;3;14;1;1;0 
136;1;0;32;1097103,375;0;1;3;18;3;1;0 
137;1;0;22;247260,4219;0;0;2;18;5;1;0 
138;3;0;37;266406,7188;0;1;2;16;4;1;0 
139;3;1;27;160942;1;1;4;20;1;5;0 
140;3;1;27;336876,3125;0;0;1;20;1;1;0 
141;3;0;27;664148;0;1;2;12;1;1;0 
142;3;0;32;266539,875;0;1;5;18;1;1;0 
143;1;1;27;565174,375;1;1;5;12;1;3;0 
144;2;1;52;470610,1563;1;1;2;18;4;4;0 
145;1;1;27;117143,1016;1;0;3;20;3;3;0 
146;1;1;37;803400;0;1;1;18;5;1;0 
147;2;1;27;181643,2188;1;1;4;14;5;4;0 
148;3;0;52;311304,3438;1;1;5;12;1;3;0 
149;2;0;57;808000;1;1;4;16;2;4;0 
150;3;1;27;327522;1;1;1;16;2;4;0 
151;3;1;37;120265,3984;0;1;4;20;3;1;0 
152;1;1;22;285980,5938;1;0;2;14;4;3;0 
153;3;1;32;192883,4063;0;1;2;18;5;1;0 
154;1;1;37;188430,4063;1;1;4;20;2;3;0 
155;2;1;22;237586,8438;1;1;2;14;4;3;0 
156;1;1;42;278615,1563;1;1;4;20;1;3;0 
157;3;0;52;143785,1563;0;1;5;17;2;1;0 
158;2;0;37;313278,5625;1;1;4;14;5;2;0 
159;2;1;27;90434,78125;1;1;4;14;1;3;0 
160;1;1;32;317720,4063;1;1;2;16;3;5;0 
161;2;0;27;250176,7188;0;1;2;18;2;1;0 
162;3;0;27;600926,75;0;1;2;18;3;1;0 
163;3;1;37;245601,2969;0;1;5;18;4;1;0 
164;3;0;47;127612;0;1;5;12;2;1;0 
165;1;0;32;1104350;1;1;3;17;1;4;0 
166;2;0;27;776780,375;1;1;4;17;1;2;0 
167;3;0;57;545304,375;0;1;2;18;5;1;0 
168;2;0;22;954695,625;0;0;4;14;1;1;0 
169;1;1;42;124120;0;1;3;14;1;1;0 
170;1;1;57;326645,1563;1;1;4;9;4;2;0 
171;2;1;57;292222,2188;1;1;4;20;5;5;0 
172;1;0;22;344738;1;0;4;14;2;5;0 
173;2;0;32;93200;0;1;4;14;2;1;0 
174;1;0;42;922014,6875;1;1;3;18;2;4;0 
175;3;0;27;115267,8281;0;0;2;18;2;1;0 
176;2;1;32;231190,4375;0;1;2;18;5;1;0 
177;2;0;27;171893,8906;1;0;3;16;4;4;0 
178;2;0;27;201000;1;1;2;16;3;4;0 
179;3;0;32;60533,33203;1;1;4;16;1;3;0 
180;3;0;37;178253,5938;0;1;4;14;5;1;0 
181;2;0;42;251550;0;1;5;17;1;1;0 
182;1;1;32;312475,3438;0;1;4;14;3;1;0 
183;2;0;32;514020;1;1;3;17;3;3;0 
184;2;0;37;915200;0;0;4;18;5;1;0 
185;1;0;22;388490,4063;1;1;3;14;2;5;0 
186;3;0;27;272960,4063;0;1;4;14;2;1;0 
187;2;1;27;1159244,25;0;0;3;16;2;1;0 
188;1;1;27;1157600;0;1;2;20;4;1;0 
189;3;1;32;641700;0;1;4;16;3;1;0 
190;1;1;32;595682,25;1;1;1;14;2;5;0 
191;3;1;22;710162,125;1;0;3;17;4;5;0 
192;2;0;27;337720;1;1;4;17;5;4;0 
193;1;1;27;205200;0;1;4;20;3;1;0 
194;3;1;37;158074;1;1;4;20;3;4;0 
195;2;0;37;177673,5781;0;1;2;14;5;1;0 
196;1;1;22;232978,2656;1;1;1;18;5;4;0 
197;1;1;37;249066,6719;1;1;4;17;5;3;0 
198;1;0;22;110351,5313;0;0;2;14;4;1;0 
199;3;1;52;239360,2656;1;1;4;14;5;2;0 
200;2;0;22;624190;1;0;4;17;2;5;0 
201;1;1;32;435485,0313;0;1;5;14;5;1;0 
202;3;1;32;304892,6875;1;1;2;14;2;5;0 
203;3;0;22;257681,1406;0;0;3;16;2;1;0 
204;1;1;27;921000;0;0;2;18;3;1;0 
205;3;0;22;309258,0625;1;1;2;14;4;2;0 
206;2;0;27;345860,4063;0;0;2;17;3;1;0 
207;2;0;37;198140,6719;1;1;4;12;2;2;0 
208;1;0;22;257795,7188;1;0;1;14;5;5;0 
209;1;0;37;243600;0;0;2;12;4;1;0 
210;1;0;37;138888,8906;1;1;4;18;3;3;0 
211;1;0;42;156000;0;1;3;12;5;1;0 
212;3;1;22;249838;1;0;2;18;4;5;0 
213;3;1;52;233004,9219;1;1;2;20;4;2;0 
214;3;1;27;401212,2813;0;0;2;17;5;1;0 
215;2;0;27;794464,3125;0;0;2;17;2;1;0 
216;2;1;42;377120,4063;0;0;5;20;5;1;0 
217;2;1;22;625955,625;0;0;4;17;3;1;0 
218;2;1;22;320000;1;0;4;17;1;3;0 
219;1;0;22;51800;0;1;1;14;5;1;0 
220;3;1;37;415614,5938;1;1;5;20;2;5;0 
221;3;0;37;247128;1;1;3;16;5;3;0 
222;1;1;42;129882,5703;0;1;4;17;1;1;0 
223;3;0;47;350883,5;0;1;4;17;4;1;0 
224;1;1;22;313830,6563;1;0;4;16;5;4;0 
225;3;0;32;291301,7188;1;1;3;12;1;4;0 
226;3;0;22;260876,4063;1;1;1;14;4;5;0 
227;3;0;32;197400;1;1;4;17;2;4;0 
228;1;1;27;206742,0938;0;1;2;16;3;1;0 
229;1;1;37;395948,3125;1;1;4;14;1;5;0 
230;2;1;42;292982;1;1;3;14;2;5;0 
231;2;0;37;120222,2188;1;1;5;14;2;4;0 
232;2;0;32;345948,2813;1;1;4;17;3;5;0 
233;1;0;42;177800;1;1;4;18;2;5;0 
234;3;1;27;352916,6563;0;0;4;18;2;1;0 
235;1;1;22;445652,1875;0;0;4;18;1;1;0 
236;2;1;27;273640;1;1;4;14;4;3;0 
237;1;0;22;170650;0;0;5;18;1;1;0 
238;3;0;52;150849,7031;0;1;5;9;2;1;0 
239;3;1;32;150140,6719;0;1;3;14;4;1;0 
240;3;0;37;151898,6875;1;1;4;16;3;4;0 
241;3;1;32;1150575;0;1;2;20;3;1;0 
242;1;0;42;204269;1;1;3;18;2;4;0 
243;1;1;32;845302,3125;0;1;1;16;5;1;0 
244;2;1;27;764484;0;1;3;18;5;1;0 
245;1;0;32;306783,125;1;1;4;12;2;4;0 
246;2;1;22;895800;0;1;3;14;5;1;0 
247;2;0;22;979286,6875;1;0;3;16;2;3;0 
248;3;0;42;329927,2188;1;1;4;14;2;5;0 
249;1;0;52;107916,0625;0;1;3;16;1;1;0 
250;3;1;37;183427,1719;1;1;5;20;5;4;0 
251;1;0;47;135423,375;1;1;4;12;1;3;0 
252;1;1;57;141633,3281;1;1;2;20;2;4;0 
253;1;1;32;529113,3125;1;1;4;17;3;5;0 
254;2;0;27;468223,1875;1;1;4;17;2;4;0 
255;3;1;22;1095120;1;0;1;18;2;5;0 
256;3;0;22;337200;1;1;3;9;1;4;0 
257;1;0;22;300939,1875;0;0;2;14;2;1;0 
258;2;1;42;136715,0938;1;1;2;20;4;4;0 
259;2;1;57;169394,4063;0;1;4;9;2;1;0 
260;3;0;27;957996;1;1;2;18;2;5;0 
261;3;0;22;790765;1;1;3;14;1;5;0 
262;1;1;37;230637,1563;0;1;4;14;1;1;0 
263;1;1;32;309117,5938;1;1;1;18;3;4;0 
264;1;0;22;211962,9219;1;0;2;14;2;5;0 
265;3;0;22;1060975;0;1;3;12;3;1;0 
266;1;1;52;455748,5313;1;1;2;14;1;5;0 
267;3;0;37;948824,8125;1;1;2;14;2;1;0 
268;3;0;32;210098,9219;1;1;2;14;4;5;0 
269;2;1;42;124345,9531;1;1;4;20;4;5;0 
270;1;0;27;222122,4063;1;1;3;18;3;5;0 
271;1;1;37;296455,375;0;1;4;20;1;1;0 
272;3;1;27;481237,9063;1;0;3;18;2;5;0 
273;2;0;22;241400;0;0;2;16;3;1;0 
274;1;1;32;237336,9063;1;1;2;20;3;3;0 
275;1;0;27;132032,4063;0;0;4;18;2;1;0 
276;2;0;27;129812,6719;0;1;2;12;3;1;0 
277;3;1;32;277800,6875;0;1;5;18;2;1;0 
278;2;0;37;110105,1641;1;1;2;17;2;5;0 
279;3;1;47;1515048,625;0;0;4;20;2;1;0 
280;2;1;27;191748;0;0;1;18;2;1;0 
281;3;1;37;198666,6719;1;1;4;20;3;4;0 
282;2;0;32;278352,4375;0;1;4;18;4;1;0 
283;1;0;32;852000;0;1;4;17;3;1;0 
284;3;0;42;1042440;1;1;3;14;5;3;0 
285;3;0;27;1040000;0;1;3;16;5;1;0 
286;1;1;27;53700;0;0;3;16;2;1;0 
287;1;1;22;512301,9375;1;0;3;16;2;5;0 
288;2;1;27;167479,75;1;1;3;16;4;2;0 
289;3;0;27;1214989,375;1;1;3;12;5;2;0 
290;3;0;37;256637,5469;1;1;2;18;2;4;0 
291;2;0;37;201629,9531;0;1;3;14;1;1;0 
292;2;1;22;219616,6563;1;0;2;16;1;5;0 
293;2;1;37;658500;0;1;5;20;3;1;0 
294;2;0;22;473117,5625;0;0;4;16;5;1;0 
295;1;0;32;254024,1875;1;1;4;16;1;5;0 
296;2;1;27;314684,6563;0;0;2;17;5;1;0 
297;1;0;22;173328;0;0;4;14;4;1;0 
298;1;0;27;315600;0;0;2;18;2;1;0 
299;3;1;37;458017,6563;1;1;4;18;5;3;0 
300;3;1;37;1073000;0;1;5;20;5;1;0 
301;1;0;27;182531,7656;1;1;2;14;5;2;0 
